Antall datapunkter: 10201
X: -4.900, Y: -1.300, Z: 25.700, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.200, Z: 25.450, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.100, Z: 25.220, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.000, Z: 25.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.900, Z: 24.820, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.800, Z: 24.650, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.700, Z: 24.500, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.600, Z: 24.370, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.500, Z: 24.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.400, Z: 24.170, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.300, Z: 24.100, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.200, Z: 24.050, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -0.100, Z: 24.020, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.000, Z: 24.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.100, Z: 24.020, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.200, Z: 24.050, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.300, Z: 24.100, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.400, Z: 24.170, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.500, Z: 24.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.600, Z: 24.370, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.700, Z: 24.500, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.800, Z: 24.650, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 0.900, Z: 24.820, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 1.000, Z: 25.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 1.100, Z: 25.220, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 1.200, Z: 25.450, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 1.300, Z: 25.700, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 1.400, Z: 25.970, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 1.500, Z: 26.260, r: 1.000, g: 0.000, b: 0.000
